timestamp,frame_index,episode_index,task_index,state_q1_rad,state_q2_rad,state_q3_rad,state_q4_rad,state_q5_rad,state_q6_rad,state_q7_rad,action_x_m,action_y_m,action_z_m,action_rx_rad,action_ry_rad,action_rz_rad,action_gripper_cmd_01,gripper_pos_measured_01
0.0009465999901294708,0,0,0,4.948698188126254,1.164283827996095,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734670341014862,0.9402146339416504,0.6088210344314575,1.3058020777940336,0.1209521880168835,2.8681563170914335,1,0.1315789669752121
0.10258179996162653,1,0,0,4.948698720758473,1.164283827996095,3.1653368652367218,6.144625829352726,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734707593917847,0.9402145743370056,0.6088210344314575,1.3058020777940336,0.12095173860844954,2.8681560507753243,1,0.1315789669752121
0.21223569998983294,2,0,0,4.948698188126254,1.1642834285219315,3.1653368652367218,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734661400318146,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095173860844954,2.8681565834075426,1,0.1315789669752121
0.3053947999724187,3,0,0,4.948698720758473,1.1642834285219315,3.1653368652367218,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734706103801727,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095173860844954,2.8681560507753243,1,0.1315789669752121
0.41491160000441596,4,0,0,4.948698188126254,1.164283827996095,3.1653368652367218,6.144625829352726,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734671831130981,0.9402147531509399,0.6088207364082336,1.305802477268197,0.12095221298401872,2.8681563170914335,1,0.1315789669752121
0.5092045000055805,5,0,0,4.948698720758473,1.1642834285219315,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734710574150085,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095217137212667,2.868155784459215,1,0.1315789669752121
0.6022295999573544,6,0,0,4.948698188126254,1.1642834285219315,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734665870666504,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095217137212667,2.8681563170914335,1,0.1315789669752121
0.7122987000038847,7,0,0,4.948698720758473,1.164283827996095,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734713554382324,0.9402145743370056,0.6088210344314575,1.3058020777940336,0.1209521880168835,2.868155784459215,1,0.1315789669752121
0.8054097999702208,8,0,0,4.948698720758473,1.1642834285219315,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734710574150085,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095217137212667,2.868155784459215,1,0.1315789669752121
0.9005442999769002,9,0,0,4.948698188126254,1.1642834285219315,3.165337397868939,6.144626361984943,0.16811002979567755,6.278108256877458,1.5056166575376977,0.22734665870666504,0.9402143955230713,0.6088213920593262,1.3058015451618157,0.12095217137212667,2.8681563170914335,1,0.1315789669752121
